6	5	4	3	3	5	3	2	5	3	.	4.3	1	2	1	1	3.6	0	1	0	0
7	1	1	3	3	7	3	3	2	3	3.6	4.7	3	3	1	3	6.2	0	1	0	0
6	1	1	3	3	2	3	3	2	3	3.24	4.6	3	3	3	3	1.7	1	1	0	0
7	1	1	3	3	7	3	1	2	6	3.25	3.5	3	3	1	3	5.6	0	0	0	1
4	6	4	1	2	5	2	3	3	6	3.29	3	1	2	1	3	5.1	1	0	0	1
6	3	2	3	2	7	1	1	5	1	2.79	3.4	3	3	1	1	6.3	0	0	1	0
7	1	1	3	3	5	3	3	3	6	.	3.8	3	3	1	3	2	0	0	0	1
6	2	1	3	3	4	2	3	3	3	3.02	4.5	3	3	2	3	3.6	1	1	0	0
5	3	2	3	2	7	1	1	6	8	.	4.3	3	3	1	1	4.3	0	0	0	0
7	1	1	3	3	3	3	3	2	6	3.04	4.3	3	3	3	3	2.9	0	0	0	1
4	5	4	2	1	6	1	2	3	3	.	4.5	1	2	1	3	2.3	1	1	0	0
7	4	3	3	2	7	1	2	4	3	2.72	4.5	2	3	1	2	5.1	1	1	0	0
5	3	4	2	3	6	2	3	6	3	.	3.4	3	2	1	1	3	0	1	0	0
6	3	2	3	3	7	3	3	2	6	3.9	4.6	3	3	1	3	2.2	0	0	0	1
3	6	5	2	2	6	1	3	4	1	3.4	3.4	1	1	1	2	4.4	0	0	1	0
4	5	5	1	1	7	1	1	7	1	2.69	3.9	1	1	1	1	5.3	0	0	1	0
4	5	4	3	2	6	3	2	4	1	3	4.7	1	2	1	2	3.8	1	0	1	0
4	4	4	3	2	7	3	3	5	3	2.91	4	2	2	1	1	5.2	1	1	0	0
6	1	1	3	3	7	1	3	2	3	2.7	4.1	3	3	1	3	3.6	0	1	0	0
6	4	4	3	2	6	1	3	5	6	3.02	4.6	2	2	1	1	4.4	0	0	0	1
6	3	1	3	3	7	1	3	3	1	2.8	3.3	3	3	1	3	3.8	0	0	1	0
6	2	1	3	3	4	3	1	3	3	2.84	4.1	3	3	2	3	4	0	1	0	0
4	7	4	3	2	7	2	1	6	3	2.55	3.7	1	2	1	1	4.3	1	1	0	0
6	2	4	3	3	6	1	1	7	1	.	3.7	3	2	1	1	3.7	1	0	1	0
4	3	3	2	2	6	1	3	2	1	3.58	3.4	3	3	1	3	5.3	0	0	1	0
7	2	1	3	3	5	2	3	7	3	2.17	4.4	3	3	1	1	5.5	1	1	0	0
3	7	7	1	1	2	2	3	1	1	3.4	3.4	1	1	3	3	4.2	0	0	1	0
4	6	2	3	3	7	1	3	5	3	.	3.8	1	3	1	1	4.8	1	1	0	0
5	2	3	3	2	3	3	2	2	8	.	4.1	3	3	3	3	3.9	0	0	0	0
5	5	3	3	2	6	3	3	2	3	3.02	3.9	1	3	1	3	5.8	0	1	0	0
4	5	4	1	2	5	1	2	4	.	.	3.9	1	2	1	2	5	0	.	.	.
7	2	2	3	3	5	3	3	5	1	2.6	4.2	3	3	1	1	2.8	1	0	1	0
6	4	3	3	3	2	3	3	1	1	.	4.3	2	3	3	3	2.5	0	0	1	0
4	7	7	3	2	3	2	2	5	1	3.88	4	1	1	3	1	3.3	0	0	1	0
4	5	4	3	3	5	3	3	7	2	.	4	1	2	1	1	3.1	0	0	0	0
7	4	1	3	3	5	3	3	6	3	.	3.4	2	3	1	1	4.6	0	1	0	0
3	5	5	2	2	4	3	2	1	1	.	3	1	1	2	3	4.6	0	0	1	0
6	3	1	3	3	7	2	3	3	6	3.52	4.2	3	3	1	3	4.7	0	0	0	1
4	5	3	3	2	5	3	2	4	1	.	4.2	1	3	1	2	3.6	0	0	1	0
6	1	1	3	3	7	3	1	6	3	2.71	3.7	3	3	1	1	4.4	0	1	0	0
6	3	2	3	3	5	3	1	5	3	.	3.8	3	3	1	1	3.4	0	1	0	0
6	1	1	3	3	5	2	3	4	3	1.82	4.4	3	3	1	2	3	1	1	0	0
4	5	4	2	2	2	2	1	7	2	2.51	3.4	1	2	3	1	5.3	1	0	0	0
5	2	2	3	2	6	3	3	5	6	.	4.5	3	3	1	1	4.9	0	0	0	1
4	5	4	2	2	4	1	3	3	6	3.3	3.8	1	2	2	3	3.7	0	0	0	1
